TEETH WHITENING SALON SMILE LAB,"K. Donelaièio g. 27, Kaunas",+370 657 70 444,smilelab@neodenta.lt,http://www.smilelab.lt/,
DENTAL CLINIC ERAIMPLANT,"Savanoriø pr. 300-1, Kaunas",+370 633 58 133,info@eraimplant.lt,http://www.eraimplant.lt/,
DANTØ ESTETIKA,"Aukðtaièiø g. 62A, Kaunas",+370 600 25559,info@dantuestetika.lt,http://dantuestetika.lt/,
DENTAL CLINIC MALO CLINIC | DPC,"Savanoriø pr. 271, Kaunas",+370 632 00 005,konsultacija@maloclinic.lt,http://www.maloclinic.lt/,"I - V 08:00 - 20:00
VI 09:00 - 17:00"
BEAUTY SURGERY,"Savanoriø pr. 284/ Partizanø g.17, Kaunas",+370 650 93 333,info@groziochirurgija.lt,http://www.groziochirurgija.lt/,I - V 09:00 - 18:00
"KAUNAS IMPLANTOLOGY CENTER ""KIC""","Kalnieèiø g. 247, Kaunas",+370 640 52 485,info@kicklinika.lt,http://www.kicklinika.lt/,I - V 08:00 - 20:00
"DENTAL CLINIC ""ANGITIA""","Savanoriø pr. 273, Kaunas",+370 699 05758,info@angitia.lt,https://angitia.lt/,
DENTAL CLINIC NEODENTA,"Baltø pr. 49A, Kaunas",+370 37 755 075,info@neodenta.lt,http://www.neodenta.lt/,I-V 08:00 – 20:00
KAUNAS DENTAL CLINIC „DENTICIJA“,"Vytauto pr. 14, Kaunas",+370 671 96 979,registracija@kaunodenticija.lt,http://kaunodenticija.lt/,
"DENTAL CLINIC ""SIDANTA""","Baltø pr. 3, Kaunas",+370 616 07 775,info@sidanta.lt,http://www.sidanta.lt/,I - V 08:00 - 19:00
